Child1	age	1
Child2	age	11
Child3	age	15
Child4	age	6
Child5	age	2
Child6	age	8
Child7	age	16
Child8	age	11
Child9	age	10
Child10	age	11

Gifts	Price	Size	Ages

G6      3       1.8     2-3
G9      29      1.1     16-20
G25     19      1.0     14-15
G2      15      1.6     13-20
G12     27      2.9     15-16
G22     28      3.0     0-2
G24     29      1.7     0-3
G27     10      3.0     13-16
G30     16      1.8     0-2
G4      22      1.9     10-13
G17     9       1.6     4-10
G19     4       2.9     10-11
G3      4       1.3     9-15
G13     30      2.8     7-11
G14     21      0.3     7-12
G28     4       3.1     8-13
G7      24      0.6     4-11
G8      20      1.6     8-15
G11     7       2.5     6-11
G15     7       3.1     2-11
G1      21      1.0     any
G5      8       1.0     any
G10     25      2.5     any
G16     11      3.0     any
G18     19      1.2     any
G20     3       2.4     any
G21     1       2.2     any
G23     7       2.5     any
G26     8       1.4     any
G29     23      1.5     any
