Child1	age	10
Child2	age	0
Child3	age	7

Gifts	Price	Size	Ages

G1      20      1.6     0-2
G3      18      1.2     0-3
G4      5       0.2     0-3
G5      8       1.8     0-2
G7      20      2.6     7-9
G8      22      2.1     10-14
G12     24      3.0     2-8
G14     8       1.6     8-14
G15     2       2.0     6-9
G17     11      0.7     5-7
G20     4       2.7     8-14
G9      3       0.6     5-10
G19     17      3.4     7-10
G2      10      2.8     any
G6      7       2.7     any
G10     13      1.4     any
G11     26      0.1     any
G13     13      1.5     any
G16     5       0.9     any
G18     6       3.1     any
